boat,boatManufacturer,boatModel,boatLength,motorName,motorHP,motorProp,pdfUrl,localFilePath,status
ACTION CRAFT 1720 CC,ACTION,CRAFT 1720 CC,"17' - 2""""",BF90D,90,Powertech 13 1/4 x 19 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Action Craft 1720 CC - BF90.pdf,honda_downloads\Action_Craft_1720_CC_-_BF90.pdf,Downloaded
ACTION CRAFT - COASTLNE 2002,ACTION CRAFT,COASTLNE 2002,"22' - 0""",BF200A  - Non-Current,200,SOLAS           14 1/2 X 23 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Action Craft Coast Line 2002 TE - BF200.pdf,honda_downloads\Action_Craft_Coast_Line_2002_TE_-_BF200.pdf,Downloaded
ACTION CRAFT - COASTLNE 2002,ACTION CRAFT,COASTLNE 2002,"22' - 0""",BF200A  - Non-Current,200,PRECISION    14 3/4 X 23 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Action Craft Coast Line 2002 TE Precision 1 - BF200.pdf,honda_downloads\Action_Craft_Coast_Line_2002_TE_Precision_1_-_BF200.pdf,Downloaded
ACTION CRAFT - COASTLNE 2002,ACTION CRAFT,COASTLNE 2002,"22' - 0""",BF200A  - Non-Current,200,PRECISION     14 1/4 X 22 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Action Craft Coast Line 2002 TE Precision 2 - BF200.pdf,honda_downloads\Action_Craft_Coast_Line_2002_TE_Precision_2_-_BF200.pdf,Downloaded
AKSANO F16,AKSANO,F16,"16' - 0""",BF90D,90,Solas 13 x 19 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Aksano F16 with Aluminum - BF90.pdf,honda_downloads\Aksano_F16_with_Aluminum_-_BF90.pdf,Downloaded
AKSANO F16,AKSANO,F16,"16' - 0""",BF90D,90,Quicksilver 13 3/4 x 20 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Aksano F16 with Stainless - BF90.pdf,honda_downloads\Aksano_F16_with_Stainless_-_BF90.pdf,Downloaded
ALUMACRAFT 16 MV TEX SPECIAL,ALUMACRAFT,16 MV TEX SPECIAL,"16' - 0""",BF50D,50,Solas 11.4 x 12 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Alumacraft 16 MV Tex Special - BF50 EFI.pdf,honda_downloads\Alumacraft_16_MV_Tex_Special_-_BF50_EFI.pdf,Downloaded
ALUMACRAFT CLASSIC 165 TILLER,ALUMACRAFT,CLASSIC 165 TILLER,"16' - 5""""",BF40D TILLER,40,Solas 11.1 x 13 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Alumacraft Classic 165 Tiller - BF40 EFI.pdf,honda_downloads\Alumacraft_Classic_165_Tiller_-_BF40_EFI.pdf,Downloaded
ALUMACRAFT PRO 175,ALUMACRAFT,PRO 175,"17' - 11""""",BF75D,75,Solas 13 7/8 x 18 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Alumacraft Pro 175 - BF75.pdf,honda_downloads\Alumacraft_Pro_175_-_BF75.pdf,Downloaded
ALUMACRAFT - 175 TOURNAMENT SPT,ALUMACRAFT,175 TOURNAMENT SPT,"17' - 11""",BF150A  - Non-Current,150,PWRTECH OFS 15 1/4 X 18 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Alumacraft Tournament Sport 175 1 - BF150.pdf,honda_downloads\Alumacraft_Tournament_Sport_175_1_-_BF150.pdf,Downloaded
ALUMACRAFT - 175 TOURNAMENT SPT,ALUMACRAFT,175 TOURNAMENT SPT,"17' - 11""",BF150A  - Non-Current,150,PWRTECH OFX 15 1/4 X 17 X 4,https://cdn.powerequipment.honda.com/marine/pdf/props/Alumacraft Tournament Sport 175 2 - BF150.pdf,honda_downloads\Alumacraft_Tournament_Sport_175_2_-_BF150.pdf,Downloaded
ALUMAWELD 17 STRYKER,ALUMAWELD,17 STRYKER,"17' - 0""""",BF75D,75,Solas 13 1/4 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Alumaweld 17 Stryker - BF75.pdf,honda_downloads\Alumaweld_17_Stryker_-_BF75.pdf,Downloaded
ALUMAWELD 19 FREE DRIFTER JET,ALUMAWELD,19 FREE DRIFTER JET,"19' - 0""""",65 JET (BF90D jet version),65,Aluminum Impeller,https://cdn.powerequipment.honda.com/marine/pdf/props/Alumaweld 19 Free Drifter Jet - BF90 Jet Tiller.pdf,honda_downloads\Alumaweld_19_Free_Drifter_Jet_-_BF90_Jet_Tiller.pdf,Downloaded
ALUMAWELD 22 INTRUDER,ALUMAWELD,22 INTRUDER,"22' - 1""""",BF225A - Non-Current,225,Powertech 15 1/4 x 19 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Alumaweld 22 Intruder - BF225.pdf,honda_downloads\Alumaweld_22_Intruder_-_BF225.pdf,Downloaded
AQUASPORT 225 EXPLORER,AQUASPORT,225 EXPLORER,"24' - 10""",BF225A - Non-Current,225,Turbo 14 1/4 x 19 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Aquasport 225 Explorer - BF225.pdf,honda_downloads\Aquasport_225_Explorer_-_BF225.pdf,Downloaded
AQUASPORT 275 EXPLORER,AQUASPORT,275 EXPLORER,"26' - 6""",BF225A - Non-Current,225,Solas 15 1/4 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Aquasport 275 Explorer - BF225.pdf,honda_downloads\Aquasport_275_Explorer_-_BF225.pdf,Downloaded
ARIMA SEA CHASER 19,ARIMA,SEA CHASER 19,"18' - 11""""",BF90D,90,Solas 12 3/4 x 17 x 4,https://cdn.powerequipment.honda.com/marine/pdf/props/Arima Sea Chaser 19 Aluminum Prop - BF90.pdf,honda_downloads\Arima_Sea_Chaser_19_Aluminum_Prop_-_BF90.pdf,Downloaded
ARIMA SEA CHASER 19,ARIMA,SEA CHASER 19,"18' - 11""""",BF90D,90,Solas 13 1/4 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Arima Sea Chaser 19 Aluminum Prop 3 Blade - BF90.pdf,honda_downloads\Arima_Sea_Chaser_19_Aluminum_Prop_3_Blade_-_BF90.pdf,Downloaded
ARIMA SEA RANGER 19,ARIMA,SEA RANGER 19,"18' - 11""""",BF135A - Non-Current,135,Solas 14 1/2 x 17 x 4,https://cdn.powerequipment.honda.com/marine/pdf/props/Arima Sea Ranger 19 Aluminum - BF135.pdf,honda_downloads\Arima_Sea_Ranger_19_Aluminum_-_BF135.pdf,Downloaded
ARIMA SEA RANGER 19,ARIMA,SEA RANGER 19,"18' - 11""""",BF135A - Non-Current,135,Powertech 15 1/4 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Arima Sea Ranger 19 Stainless - BF135.pdf,honda_downloads\Arima_Sea_Ranger_19_Stainless_-_BF135.pdf,Downloaded
Alumacraft Voyageur 175,Alumacraft,Voyageur 175,"17' 10""",BF100,100,Stainless Steel 13.25 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF100 Alumacraft Voyageur 175.pdf,honda_downloads\BF100_Alumacraft_Voyageur_175.pdf,Downloaded
Apex - Quest 818,Apex,Quest 818,18.4',BF100,100,Stainless Steel 13.5 X 15 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF100 Apex - Quest 818.pdf,honda_downloads\BF100_Apex_-_Quest_818.pdf,Downloaded
Highfield DX 540,Highfield,DX 540,"17' 8""",BF100,100,Stainless Steel 13.75 X 15 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF100 Highfield DX 540-1.pdf,honda_downloads\BF100_Highfield_DX_540-1.pdf,Downloaded
Highfield DX 540,Highfield,DX 540,"17' 8""",BF100,100,Stainless Steel 13.25 X 15 X 4,https://cdn.powerequipment.honda.com/marine/pdf/props/BF100 Highfield DX 540-3.pdf,honda_downloads\BF100_Highfield_DX_540-3.pdf,Downloaded
Inventech 18,Inventech,18,18',BF100,100,Stainless Steel 13.25 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF100 Inventech 18.pdf,honda_downloads\BF100_Inventech_18.pdf,Downloaded
Key West 1720 Sportsman,Key,West 1720 Sportsman,"17' 2""",BF100,100,Stainless Steel 13.5 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF100 Key West 1720 Sportsman.pdf,honda_downloads\BF100_Key_West_1720_Sportsman.pdf,Downloaded
Alumacraft Trophy 175,Alumacraft,Trophy 175,"17' 8""",BF115A - Non-Current,115,Stainless Steel 14.75 X 16 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF115 Alumacraft Trophy 175.pdf,honda_downloads\BF115_Alumacraft_Trophy_175.pdf,Downloaded
Avalon 23 VRB,Avalon,23 VRB,23',BF115A - Non-Current,115,Aluminum 15 X 15 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF115 Avalon 23 VRB.pdf,honda_downloads\BF115_Avalon_23_VRB.pdf,Downloaded
Avalon Catalina 2185 QL,Avalon,Catalina 2185 QL,21',BF115A - Non-Current,115,Stainless Steel 15.625 X 13 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF115 Avalon Catalina 2185 QL.pdf,honda_downloads\BF115_Avalon_Catalina_2185_QL.pdf,Downloaded
Lund 1775 Impact XS,Lund,1775 Impact XS,"17' 11""",BF115A - Non-Current,115,Stainless Steel 14.75 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF115 Lund 1775 Impact XS.pdf,honda_downloads\BF115_Lund_1775_Impact_XS.pdf,Downloaded
Avalon Catalina 2585,Avalon,Catalina 2585,25.5',BF115A - Non-Current,115,Stainless Steel 15.5 X 11 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF115-Avalon-Catalina-2585.pdf,honda_downloads\BF115-Avalon-Catalina-2585.pdf,Downloaded
Smoker Craft 20 Phantom,Smoker,Craft 20 Phantom,"20' 1""",BF115A - Non-Current,115,Solas 14 ¾  X 17”,https://cdn.powerequipment.honda.com/marine/pdf/props/BF115-Smoker_20_Phantom,honda_downloads\BF115-Smoker_20_Phantom.pdf,Failed
Lund 1999 Tournament Pro SE,Lund,1999 Tournament Pro SE,17.6',BF115A - Non-Current,115,Honda 14 1/4 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF115_Lund_Tournament_Pro_SE.pdf,honda_downloads\BF115_Lund_Tournament_Pro_SE.pdf,Downloaded
Manitou Oasis Angler 20VP,Manitou,Oasis Angler 20VP,"20' 10""",BF115A - Non-Current,115,Solas 14 3/4 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF115_Manitou_Oasis_ Angler_ 20VP.pdf,honda_downloads\BF115_Manitou_Oasis__Angler__20VP.pdf,Downloaded
Clearwater 2300,Clearwater,2300,23',BF135A - Non-Current,135,Stainless Steel 15.375 X 18 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF135 2300 Clearwater twins.pdf,honda_downloads\BF135_2300_Clearwater_twins.pdf,Downloaded
Alumacraft Competitor 175 Sport,Alumacraft,Competitor 175 Sport,"17' 8""",BF135A - Non-Current,135,Stainless Steel 14.25 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF135 Alumacraft Competitor 175 Sport.pdf,honda_downloads\BF135_Alumacraft_Competitor_175_Sport.pdf,Downloaded
Alumacraft MV2072 Bay,Alumacraft,MV2072 Bay,20',BF135A - Non-Current,135,Stainless Steel 14.75 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF135 Alumacraft MV2072 Bay.pdf,honda_downloads\BF135_Alumacraft_MV2072_Bay.pdf,Downloaded
Coach 230 RF,Coach,230 RF,23',BF135A - Non-Current,135,Stainless Steel 14.5 X 15 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF135 Coach 230 RF new.pdf,honda_downloads\BF135_Coach_230_RF_new.pdf,Downloaded
Hewes Craft 20 Sea Runner HT,Hewes,Craft 20 Sea Runner HT,22’ 2”,BF150A  - Non-Current,150,Solas 15 1/4 x 15 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF150 20 Hewes Craft Sea Runner HT.pdf,honda_downloads\BF150_20_Hewes_Craft_Sea_Runner_HT.pdf,Downloaded
Hewes Craft 26’ Sea Pacific Cruiser,Hewes,Craft 26’ Sea Pacific Cruiser,25’ 7”,2 x BF150A - Non-Current,150,Solas 14 1/4 X 15 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF150 26 Hewes Sea Pacific Cruiser.pdf,honda_downloads\BF150_26_Hewes_Sea_Pacific_Cruiser.pdf,Downloaded
Brig 762 Patrol Boat,Brig,762 Patrol Boat,25',BF150A  - Non-Current,150,Stainless Steel 15.375 X 18 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF150 762 Brig Patrol Boat twins.pdf,honda_downloads\BF150_762_Brig_Patrol_Boat_twins.pdf,Downloaded
Alumacraft  Tournament Pro 185,Alumacraft,Tournament Pro 185,"18' 3""",BF150A  - Non-Current,150,Stainless Steel 14.75 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF150 Alumacraft  Tournament Pro 185.pdf,honda_downloads\BF150_Alumacraft__Tournament_Pro_185.pdf,Downloaded
Coach 210RF,Coach,210RF,21',BF150A  - Non-Current,150,Stainless Steel 14.75 X 16 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF150 Coach 210RF.pdf,honda_downloads\BF150_Coach_210RF.pdf,Downloaded
Coach 230RFC,Coach,230RFC,21',BF150A  - Non-Current,150,Stainless Steel 14.75 X 16 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF150 Coach 230RFC.pdf,honda_downloads\BF150_Coach_230RFC.pdf,Downloaded
